omega,amp_mean,weight_mean,cluster_k3,cluster_k4,cluster_k5
0.01,1.8078729842482473,0.002670683713631868,2,2,2
0.02,0.9049710903471937,0.0026708520497374997,2,2,2
0.03,0.6043425662472903,0.0026711326012382455,2,2,2
0.04,0.45424880879416657,0.0026715253538275234,0,3,4
0.05,0.36434993248526276,0.002672030288936647,0,3,4
0.06,0.3045363793540358,0.0026726473820053755,0,3,4
0.07,0.26190612688814213,0.002673376602805045,0,3,4
0.08,0.23000941712024953,0.0026742179156974575,0,3,4
0.09,0.20526385841926334,0.002675171279063233,0,3,4
0.1,0.1855205636895322,0.0026762366455993962,0,3,4
0.11,0.16941244775727074,0.0026774139620582425,0,3,4
0.12,0.15602840601370263,0.002678703169064101,0,3,4
0.13,0.14473788990602546,0.002680104201018957,0,3,4
0.14,0.13509067533817415,0.0026816169859919066,0,3,4
0.15,0.12675673076871985,0.00268324144551091,0,3,4
0.16,0.11948863947797413,0.002684977494376156,0,3,4
0.17,0.11309728780728415,0.0026868250404666993,0,3,4
0.18,0.10743565961917831,0.0026887839845861085,0,3,4
0.19,0.10238774996989135,0.002690854220166425,0,3,4
0.2,0.0978608059239496,0.0026930356330735297,0,3,4
0.21,0.09377978522033514,0.0026953281013611316,0,3,4
0.22,0.09008332693540771,0.0026977314949650725,0,3,4
0.23,0.08672077384132824,0.002700245675495742,0,3,4
0.24,0.0836499396196666,0.002702870495911205,0,3,4
0.25,0.08083541229805724,0.0027056058001787633,0,3,4
0.26,0.078247249486419,0.0027084514230133736,0,3,4
0.27,0.07585996379166066,0.002711407189514498,0,3,4
0.28,0.07365172583232962,0.002714472914835803,0,3,4
0.29,0.07160373230209176,0.002717648403801383,0,3,4
0.3,0.0696997005492517,0.002720933450541199,0,3,4
0.31,0.06792546108687392,0.0027243278381126157,0,3,4
0.32,0.0662686265972821,0.0027278313380693134,0,3,4
0.33,0.06471832119344802,0.0027314437100841326,0,3,4
0.34,0.06326495752219209,0.0027351647014570843,0,3,4
0.35000000000000003,0.06190005213313332,0.0027389940467195126,0,3,4
0.36,0.060616071666520416,0.002742931467151562,0,3,4
0.37,0.05940630402405745,0.0027469766703083886,0,3,4
0.38,0.05826474991618072,0.0027511293495127796,0,3,4
0.39,0.05718603112478374,0.0027553891833451303,0,3,4
0.4,0.056165312553063174,0.0027597558351801057,0,3,4
0.41000000000000003,0.05519823570591348,0.0027642289525780907,0,3,4
0.42,0.054280861693557024,0.0027688081667433676,0,3,4
0.43,0.05340962220615939,0.0027734930920270597,0,3,4
0.44,0.052581277189681454,0.002778283325242763,0,3,4
0.45,0.051792878179116805,0.0027831784451601473,0,3,4
0.46,0.05104173642697813,0.002788178011825593,0,3,4
0.47000000000000003,0.05032539511177312,0.0027932815659958057,0,3,4
0.48,0.04964160503053779,0.002798488628444448,0,3,4
0.49,0.04898830327689184,0.0028037986993534546,0,3,4
0.5,0.04836359448591621,0.002809211257589193,0,3,4
0.51,0.047765734292927936,0.0028147257600795866,0,3,4
0.52,0.04719311470755939,0.0028203416410530133,0,3,4
0.53,0.04664425114967682,0.002826058311374334,0,3,4
0.54,0.04611777093130671,0.00283187515778163,0,3,4
0.55,0.04561240300009798,0.0028377915421664646,0,3,4
0.56,0.04512696878632077,0.002843806800793719,0,3,4
0.5700000000000001,0.04466037401754103,0.0028499202435560396,0,3,4
0.58,0.04421160138390955,0.0028561311531532943,0,3,4
0.59,0.04377970395289659,0.002862438784319622,0,3,4
0.6,0.04336379924580282,0.0028688423630162468,0,3,4
0.61,0.04296306389990738,0.002875341085584169,0,3,4
0.62,0.04257672884993337,0.002881934117909404,0,3,4
0.63,0.04220407497097924,0.002888620594570247,0,3,4
0.64,0.04184442913226494,0.002895399617982397,0,3,4
0.65,0.041497160617335944,0.0029022702575088218,0,3,4
0.66,0.04116167787171205,0.0029092315485730546,0,3,4
0.67,0.04083742554366704,0.002916282491753327,0,3,4
0.68,0.040523881787841214,0.0029234220518708732,0,3,4
0.6900000000000001,0.04022055580494452,0.0029306491570963646,0,3,4
0.7000000000000001,0.039926985593833474,0.0029379626979536746,0,3,4
0.71,0.039642735894955226,0.0029453615264120464,0,3,4
0.72,0.03936739630646336,0.002952844454948485,0,3,4
0.73,0.03910057955639325,0.002960410255546401,0,3,4
0.74,0.03884191991605418,0.0029680576587489678,0,3,4
0.75,0.038591071741411825,0.002975785352665135,0,3,4
0.76,0.038347708130610246,0.0029835919819934846,0,3,4
0.77,0.038111519687025475,0.0029914761470044245,0,3,4
0.78,0.03788221337832838,0.0029994364025891732,0,3,4
0.79,0.03765951148301854,0.0030074712571832403,0,3,4
0.8,0.03744315061671819,0.003015579171835337,0,3,4
0.81,0.03723288083130735,0.003023758559123033,0,3,4
